GeneID,Chr,Start,End,Strand,Length,HI.3202.005.Index_10.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d2.bam,HI.3202.005.Index_11.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d3.bam,HI.3202.005.Index_1.BM_Ctrl.NAB2.PrA.CSL4.URA.d1.bam,HI.3202.005.Index_20.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_21.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_22.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_23.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_25.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_27.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_3.BM_Ctrl.NAB2.PrA.CSL4.URA.d2.bam,HI.3202.005.Index_8.BM_Ctrl.NAB2.PrA.CSL4.URA.d3.bam,HI.3202.005.Index_9.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d1.bam,HI.3758.002.Index_12.BM.MO_dpl.enp1.37C.30.3.1.bam,HI.3758.002.Index_13.BM.MO_dpl.enp1.37C.30.3.2.bam,HI.3758.002.Index_14.BM.MO_dpl.enp1.37C.90.4.1.bam,HI.3758.002.Index_15.BM.MO_dpl.enp1.37C.90.4.2.bam,HI.3758.002.Index_18.BM.MO_dpl.enp1.37C.180.5.1.bam,HI.3758.002.Index_19.BM.MO_dpl.enp1.37C.180.5.2.bam,HI.3758.002.Index_2.BM.MO_dpl.CSL4ph.37C.30.1.1.bam,HI.3758.002.Index_4.BM.MO_dpl.CSL4ph.37C.30.1.2.bam,HI.3758.002.Index_5.BM.MO_dpl.enp1.25C.2.1.bam,HI.3758.002.Index_6.BM.MO_dpl.enp1.25C.2.2.bam,HI.3758.004.Index_21.BM.MO_dpl.srm1.37C.30.7.1.bam,HI.3758.004.Index_22.BM.MO_dpl.srm1.37C.30.7.2.bam,HI.3758.004.Index_25.BM.MO_dpl.srm1.37C.90.8.1.bam,HI.3758.004.Index_27.BM.MO_dpl.srm1.37C.90.8.2.bam,HI.3758.004.Index_8.BM.MO_dpl.srm1.25C.6.1.bam,HI.3758.004.Index_9.BM.MO_dpl.srm1.25C.6.2.bam,HI.4535.001.Index_13.CA_Dis3.1.4.bam,HI.4535.001.Index_16.CA_Rrp6.delta.5.bam,HI.4535.001.Index_18.CA_Rrp6.delta.6.bam,HI.4535.001.Index_2.CA_WT.1.bam,HI.4535.001.Index_4.CA_WT.2.bam,HI.4535.001.Index_7.CA_Dis3.1.3.bam
YDL205C,IV,92762,93745,-,984,2739,2782,1572,2934,2476,2611,2072,2380,2731,1793,1868,2037,3435,3384,4205,3533,3230,3120,4074,3882,2733,2746,1454,1387,2424,2213,4105,3851,1721,2993,2715,1415,1190,1890
YDL204W,IV,94605,95786,+,1182,445,396,2047,1163,996,1003,950,1176,1357,2530,2505,306,5683,5359,2166,1696,1258,1260,2750,2569,1228,1101,4175,3886,3661,3571,602,544,1104,885,824,1918,1564,1179
YDL203C,IV,96082,97953,-,1872,1177,1314,687,1853,1598,1697,1589,1999,2126,871,839,910,2608,2661,3936,3209,2636,2555,2265,2083,1677,1583,2949,2625,3042,3098,1797,1924,1235,1761,1650,1133,912,1519
YDL202W,IV,98475,99224,+,750,845,907,791,641,549,584,421,550,624,982,1036,700,1530,1562,1656,1440,1047,1037,1137,1013,1399,1331,1558,1472,1203,1000,1683,1538,535,754,673,723,572,542
YDL201W,IV,99561,100421,+,861,1917,2159,1205,1154,983,1073,765,978,1132,1364,1314,1485,1448,1441,2216,1788,2023,1871,1763,1603,2209,2210,1485,1374,1556,1506,1952,1927,1111,2213,2144,1741,1317,1256
YDL200C,IV,100501,101067,-,567,219,223,134,298,258,285,284,343,357,149,193,166,385,410,541,483,387,297,367,349,200,213,584,570,422,389,248,234,181,214,175,281,242,213
YDL199C,IV,101290,103353,-,2064,312,303,371,818,752,768,581,820,841,475,435,233,2457,2488,1560,1491,695,770,2680,2309,605,586,3455,3227,2766,2790,612,590,582,536,531,661,471,692
YDL198C,IV,103649,104551,-,903,1168,1153,1252,1451,1199,1322,891,1204,1260,1513,1433,965,3090,3187,2280,1849,929,805,4464,4037,1540,1423,2775,2378,1973,1914,2546,2564,755,1162,1121,1729,1550,828
YDL197C,IV,104917,106494,-,1578,854,881,906,1865,1576,1758,1784,2173,2472,1044,1003,606,3589,3609,4380,3484,2394,2334,2295,1884,2104,1907,11398,10479,8693,7999,2324,2173,1308,1191,1203,1017,819,1380
YDL196W,IV,106741,107070,+,330,43,32,9,80,45,54,84,96,100,21,22,34,91,100,118,106,49,49,99,73,44,47,111,140,127,155,27,35,44,26,28,7,8,44
YDL195W,IV,107208,111029,+,3822,14877,15401,12092,8998,8186,9048,7013,8233,9417,15732,14200,11898,24363,23809,24604,20591,13160,12730,14599,12975,25884,26201,35505,31984,31489,30040,31337,28986,8308,12338,12072,11677,9534,8877
YDL194W,IV,111580,114234,+,2655,713,788,712,1681,1532,1522,1208,1432,1697,949,898,609,2779,2801,2802,2413,2116,2164,3850,3294,1275,1409,1449,1441,2129,1998,936,901,1438,1094,1069,1195,981,1555
YDL193W,IV,114672,115799,+,1128,1271,1315,1112,1094,892,1058,740,902,1000,1251,1324,986,1486,1517,1738,1517,1179,1189,1978,1793,1616,1785,3830,3607,2664,2695,1624,1567,791,1062,1001,1554,1206,963
YDL192W,IV,116321,116866,+,546,11579,11919,9333,3675,3029,3214,2332,3076,3397,10414,11490,9097,5188,5292,7757,6839,6894,6499,6092,5696,14673,15506,5893,5489,4051,3952,14938,14902,3615,6932,6366,8850,7067,4194
YDL191W,IV,117664,117666,+,3,69,83,54,56,66,47,41,50,83,74,98,48,81,92,130,92,112,93,119,131,62,59,240,257,312,330,73,58,37,44,41,46,40,34
YDL191W,IV,118158,118517,+,360,3557,3588,3161,1547,1437,1457,876,1296,1520,3486,4270,2817,3036,3542,3459,3015,4146,3887,3543,3380,5417,5762,1723,1841,2275,2205,4496,4454,1490,3622,3412,3584,2819,1777
YDL190C,IV,118707,121592,-,2886,2981,3246,2109,2800,2586,2726,2364,2970,3392,2445,2672,2367,4151,4429,4820,4588,3989,3896,5939,5072,4380,5038,4075,3966,2858,2833,4561,4610,2558,3510,3549,3142,2593,2782
YDL189W,IV,122216,123589,+,1374,2097,2068,1115,1464,1271,1422,1291,1682,1821,1437,1396,1547,2857,2863,3369,2788,2320,2159,2361,2224,2958,3035,3291,3151,3499,3232,3304,3223,1165,1851,1783,1403,1156,1309
YDL188C,IV,123865,124998,-,1134,2617,2879,1847,1761,1694,1715,1429,1686,1900,2404,2289,2125,3619,3713,3707,2910,2470,2411,2936,2575,3562,3477,6769,6451,8227,7915,3506,3446,1376,2024,1937,1461,1179,1647
YDL187C,IV,125509,125838,-,330,191,173,42,802,757,830,731,964,1125,29,46,131,277,273,463,346,302,331,792,791,88,114,165,133,283,268,79,98,537,303,296,33,46,621
YDL186W,IV,125616,126449,+,834,9,13,5,27,23,37,35,46,62,6,1,4,46,45,105,79,89,61,32,31,17,4,71,52,62,76,4,6,12,22,22,5,6,24
YDL185C-A,IV,126608,126835,-,228,4,3,2,6,0,2,5,12,15,3,3,2,15,21,28,20,20,27,9,11,15,24,5,6,11,20,25,20,8,10,6,8,7,4
YDL185W,IV,126787,130002,+,3216,69402,71845,53251,45077,39906,41433,27953,34772,39120,65302,63842,55248,56121,56027,64540,53856,46113,47569,56595,53474,79039,82075,25022,23404,31016,30518,85925,84414,33913,54143,52190,55372,44150,38253
YDL184C,IV,130407,130484,-,78,8186,8376,3967,2972,2529,2428,1671,2440,2865,4234,5274,5696,2785,3243,4042,3226,4651,3781,3965,3533,4982,5169,1129,1180,1402,1314,6454,6273,2297,5652,5477,4218,3460,2604
YDL183C,IV,130871,131833,-,963,158,166,214,738,586,592,680,766,906,291,295,122,1054,1112,1477,1543,758,816,1688,1521,310,308,1036,986,1490,1524,308,333,601,538,519,413,370,721
YDL182W,IV,133437,134723,+,1287,2551,2608,1242,1712,1505,1543,1092,1206,1511,1649,1421,1920,9901,9544,9930,7766,3214,3250,5649,5180,6033,6120,2597,2332,2722,2482,7749,7180,2137,7486,6858,1625,1267,2455
YDL181W,IV,135179,135436,+,258,128,137,573,207,211,220,208,262,292,652,730,125,948,938,851,659,610,541,834,738,620,606,645,596,469,473,275,248,369,403,479,583,445,481
YDL180W,IV,135896,137539,+,1644,793,789,622,1064,937,879,743,985,1046,769,762,570,2131,2201,2495,2127,1650,1566,2717,2276,1393,1480,3955,3632,3039,3109,1506,1360,852,1014,1051,995,775,925
YDL179W,IV,138291,139205,+,915,519,569,581,418,379,447,370,506,653,706,760,468,648,632,1477,1353,1373,1323,602,554,931,975,730,739,686,673,913,987,813,908,894,1031,845,904
YDL178W,IV,139522,141114,+,1593,1808,1960,1933,1656,1489,1375,930,1225,1420,2280,2212,1451,2841,2955,2636,2280,2241,2122,3391,3101,2610,2693,1919,1756,2355,2321,2686,2535,1274,2429,2292,1780,1374,1430
YDL177C,IV,141209,141721,-,513,185,177,191,201,168,189,162,227,276,196,176,137,534,568,646,514,398,377,323,319,361,314,1313,1158,1729,1607,425,420,145,263,246,182,155,179
YDL176W,IV,142097,144223,+,2127,503,523,339,855,734,876,802,1130,1287,425,509,388,1438,1501,2293,1980,1746,1623,1550,1381,932,1065,1463,1463,1761,1902,1180,1062,768,978,958,725,578,894
YDL175C,IV,144484,145518,-,1035,871,937,404,1423,1245,1368,1282,1580,1770,435,451,650,1493,1389,2029,1648,1430,1354,2377,2290,888,949,1355,1378,1694,1573,1163,1120,1003,1193,1091,581,517,1112
YDL174C,IV,145826,147589,-,1764,2141,2217,3576,8865,7391,7955,6760,8199,9405,4604,4333,1711,12747,12077,13629,11332,7483,7393,10757,9447,3831,3440,10132,9010,13688,12679,7589,7268,4490,3606,3397,4300,3566,4917
YDL173W,IV,148191,149078,+,888,2568,2567,2641,2042,1762,1806,1250,1658,1802,3216,3085,2030,4410,4042,3608,3008,2305,2287,3109,2936,3084,3004,25584,22612,37756,34921,4287,4110,1261,2250,2210,2040,1791,1336
YDL172C,IV,148607,149086,-,480,26,28,16,261,199,249,308,381,479,38,29,24,253,225,518,385,259,308,136,128,90,71,367,287,545,476,71,58,186,144,121,35,27,187
YDL171C,IV,149203,155640,-,6438,57963,63384,27285,50897,45148,48021,33615,40962,47247,34422,33401,48576,44589,46032,62016,52080,47095,46211,49122,45297,51367,54330,26761,25816,27342,26531,38236,37380,36523,45645,43716,29506,23497,41113
YDL170W,IV,156318,157904,+,1587,509,511,442,657,580,654,609,742,930,457,505,349,1894,1968,1822,1614,1052,1093,2158,1911,651,691,2287,2195,3006,2823,963,994,645,1243,1127,696,548,687
YDL169C,IV,158064,158735,-,672,100,105,277,345,309,315,236,300,382,311,288,77,560,600,355,317,187,148,854,798,198,181,457,415,625,625,284,221,243,120,103,382,292,310
YDL168W,IV,159604,160764,+,1161,2476,2542,1560,2859,2555,2679,2030,2582,2807,1754,1823,1878,4507,4396,6002,4898,2935,2999,3830,3450,2907,3249,2739,2741,10726,10283,2490,2380,1612,2932,2702,2240,1914,1903
YDL167C,IV,160995,163154,-,2160,2753,3043,1162,2172,1862,1938,1746,2144,2496,1354,1539,2215,2981,3036,5705,4791,4583,4408,2602,2434,3544,3896,1409,1426,2758,2727,3058,2887,2109,4529,4431,1463,1216,2467
YDL166C,IV,163449,164042,-,594,787,889,768,600,506,504,386,480,527,862,870,636,833,725,1136,866,808,732,972,896,975,1001,713,708,1296,1248,1103,1174,382,744,750,721,615,497
YDL165W,IV,164290,164865,+,576,999,1132,825,697,569,584,385,584,650,1013,1044,752,970,1036,1192,924,935,800,1024,1058,1307,1237,288,288,424,385,1346,1243,521,890,818,787,621,537
YDL164C,IV,164987,167254,-,2268,1866,1926,1393,1690,1491,1610,1558,1925,2375,1661,1663,1523,2701,2654,4844,4211,2872,2932,1804,1729,2800,3070,3082,2934,3085,3163,3184,3113,1146,1028,1003,1289,1029,1316
YDL163W,IV,166956,167258,+,303,1,2,0,36,39,30,26,23,43,5,1,1,63,75,64,68,23,38,39,28,8,6,28,20,65,44,4,3,8,1,8,1,0,11
YDL162C,IV,167359,167715,-,357,11,10,1,87,77,89,113,132,131,4,3,4,82,67,153,152,102,90,60,44,7,18,74,64,98,123,9,4,35,18,10,2,2,50
YDL161W,IV,167714,169078,+,1365,2020,2019,2039,1395,1215,1151,827,1133,1328,2423,2329,1542,3384,3249,2693,2217,1798,1745,2895,2601,2813,2601,4365,4074,3927,3697,3069,2787,899,979,1054,1911,1563,1041
YDL160C-A,IV,169366,169608,-,243,163,139,132,154,116,158,175,196,256,138,173,133,181,202,342,278,272,263,231,242,214,222,257,269,334,331,214,203,152,23,26,230,215,161
YDL160C,IV,170410,171930,-,1521,6063,6587,4986,4049,3636,3576,2786,3800,4210,5956,5972,5018,9099,9247,8675,7175,7018,6932,9814,8442,9479,10214,15632,14822,12391,12056,10628,10503,4740,7016,6752,6009,4682,5135
YDL159W-A,IV,172182,172313,+,132,1,0,0,0,0,1,3,0,0,0,1,0,0,4,0,1,2,2,1,0,0,0,24,30,31,27,0,0,0,0,0,0,1,1
YDL159W,IV,172481,174028,+,1548,693,736,535,873,782,834,672,824,1008,604,670,549,1541,1512,1718,1475,1357,1331,1832,1626,1123,1243,3444,3224,3073,3062,1097,1053,705,928,1058,766,643,921
YDL159C-B,IV,173056,173232,-,177,0,0,0,34,28,13,28,27,56,0,0,2,21,25,37,23,30,25,20,19,2,4,42,44,89,64,1,3,11,1,6,0,1,10
YDL158C,IV,173866,174174,-,309,29,26,18,42,37,52,59,92,131,10,33,22,28,42,73,87,82,75,117,71,41,46,24,35,37,31,54,44,85,66,52,67,58,75
YDL157C,IV,174232,174588,-,357,947,1029,691,823,739,717,649,819,937,712,830,733,730,774,1471,1208,1154,1020,833,764,1076,1082,254,255,328,324,1324,1198,596,678,650,1010,913,646
YDL156W,IV,174918,176486,+,1569,652,645,354,1042,977,1086,1355,1675,1825,484,516,516,1038,947,2216,1915,1398,1364,773,729,847,867,1188,1067,1179,1226,1347,1274,660,700,633,424,298,742
YDL155W,IV,176773,178056,+,1284,1357,1355,1200,2173,1775,1969,2096,2486,2992,1361,1359,1058,2728,2680,5138,4357,3451,3225,2579,2327,2411,2318,2300,2039,2784,2650,2693,2642,1510,1799,1640,1039,787,1775
YDL154W,IV,178334,181039,+,2706,331,386,191,2304,2057,2185,2818,3418,3968,193,225,222,1748,1849,5009,4711,3392,3092,1786,1672,887,935,1571,1652,2532,2770,534,515,1380,1492,1481,473,376,1600
YDL153C,IV,181186,183018,-,1833,2268,2527,1289,1500,1233,1295,943,1171,1304,1426,1487,1822,2259,2289,3521,2924,2917,2884,2286,2075,2952,2789,827,760,1989,1966,2112,1832,1338,2614,2573,1843,1448,1503
YDL152W,IV,182822,183187,+,366,2,3,1,25,17,25,43,64,81,0,0,1,15,12,29,31,30,25,25,10,4,4,4,3,12,15,5,2,13,6,4,1,3,21
YDL151C,IV,183318,183899,-,582,9,6,3,14,20,14,24,18,20,20,11,1,74,40,84,46,38,44,31,20,18,15,42,33,85,104,17,12,16,7,11,3,0,8
