gene	length	Ctrl	l_kb	rpm	rpkm
1592	YOR394W	495	0	0.495	0	0
1594	YOR396W	5391	0	5.391	0	0
1595	YOR396C-A	483	0	0.483	0	0
1599	YGL260W	231	0	0.231	0	0
1609	YGL251C	58	0	0.058	0	0
1622	YGL239C	315	0	0.315	0	0
1668	tK(CUU)G1	73	0	0.073	0	0
1688	YGL183C	3	0	0.003	0	0
1704	tK(CUU)G2	73	0	0.073	0	0
1716	tL(CAA)G1	38	0	0.038	0	0
1717	tL(CAA)G1	44	0	0.044	0	0
1838	tE(UUC)G2	72	0	0.072	0	0
1857	tL(CAA)G2	44	0	0.044	0	0
1864	YGL033W	55	0	0.055	0	0
1937	tE(UUC)G3	72	0	0.072	0	0
1951	YGR035W-A	222	0	0.222	0	0
2079	tA(AGC)G	73	0	0.073	0	0
2090	tA(UGC)G	73	0	0.073	0	0
2103	YGR161W-A	1317	0	1.317	0	0
2104	YGR161W-B	1293	0	1.293	0	0
2109	tV(AAC)G2	74	0	0.074	0	0
2144	tK(CUU)G3	73	0	0.073	0	0
2146	tW(CCA)G2	36	0	0.036	0	0
2190	YGR226C	210	0	0.21	0	0
2231	YGR265W	411	0	0.411	0	0
2257	YGR290W	444	0	0.444	0	0
2258	YGR291C	222	0	0.222	0	0
2265	YGR296C-A	576	0	0.576	0	0
2266	YGR296C-B	483	0	0.483	0	0
2267	YLL067C	287	0	0.287	0	0
2269	YLL067W-A	483	0	0.483	0	0
2270	YLL066W-B	171	0	0.171	0	0
2271	YLL066C	287	0	0.287	0	0
2273	YLL066W-A	483	0	0.483	0	0
2274	YLL065W	351	0	0.351	0	0
2310	YLL030C	342	0	0.342	0	0
2316	tP(UGG)L	36	0	0.036	0	0
2324	YLL019W-A	93	0	0.093	0	0
2355	tS(AGA)L	82	0	0.082	0	0
2382	tA(UGC)L	73	0	0.073	0	0
2403	YLR054C	31	0	0.031	0	0
2502	tD(GUC)L1	72	0	0.072	0	0
2517	tQ(UUG)L	72	0	0.072	0	0
2520	RDN37-1	158	0	0.158	0	0
2523	YLR154W-B	165	0	0.165	0	0
2524	YLR154W-C	375	0	0.375	0	0
2525	RDN58-1	158	0	0.158	0	0
2526	YLR154W-E	204	0	0.204	0	0
2527	YLR154W-F	141	0	0.141	0	0
2529	RDN5-1	121	0	0.121	0	0
2531	RDN37-2	158	0	0.158	0	0
2535	RDN58-2	158	0	0.158	0	0
2537	RDN5-2	119	0	0.119	0	0
2538	YLR154C-H	132	0	0.132	0	0
2539	YLR155C	1089	0	1.089	0	0
2540	YLR156W	345	0	0.345	0	0
2541	RDN5-3	119	0	0.119	0	0
2542	YLR156C-A	132	0	0.132	0	0
2543	YLR157C	1089	0	1.089	0	0
2544	YLR157W-D	213	0	0.213	0	0
2548	YLR157W-E	165	0	0.165	0	0
2549	RDN5-4	119	0	0.119	0	0
2550	YLR157C-C	132	0	0.132	0	0
2552	YLR159W	345	0	0.345	0	0
2553	RDN5-5	119	0	0.119	0	0
2554	YLR159C-A	132	0	0.132	0	0
2557	RDN5-6	121	0	0.121	0	0
2561	YLR163W-A	114	0	0.114	0	0
2582	YLR184W	348	0	0.348	0	0
2670	tA(AGC)L	73	0	0.073	0	0
2680	YLR264C-A	117	0	0.117	0	0
2718	YLR296W	327	0	0.327	0	0
2725	tL(UAG)L2	38	0	0.038	0	0
2726	tL(UAG)L2	44	0	0.044	0	0
2729	tI(AAU)L1	74	0	0.074	0	0
2736	YLR308W	939	0	0.939	0	0
2759	tS(GCU)L	36	0	0.036	0	0
2767	tD(GUC)L2	72	0	0.072	0	0
2772	YLR334C	381	0	0.381	0	0
2773	tE(UUC)L	72	0	0.072	0	0
2860	YLR406C-A	150	0	0.15	0	0
2878	tL(UAA)L	84	0	0.084	0	0
2920	tI(AAU)L2	74	0	0.074	0	0
2937	YLR467C-A	483	0	0.483	0	0
2938	YPL283C	19	0	0.019	0	0
2941	YPL283W-A	576	0	0.576	0	0
2963	YPL261C	309	0	0.309	0	0
3127	YPL121C	669	0	0.669	0	0
3197	tC(GCA)P1	72	0	0.072	0	0
3240	YPL021W	564	0	0.564	0	0
3281	YPR014C	330	0	0.33	0	0
3284	YPR016W-A	261	0	0.261	0	0
3388	YPR108W-A	213	0	0.213	0	0
3389	tT(UGU)P	72	0	0.072	0	0
3404	tC(GCA)P2	72	0	0.072	0	0
3434	tI(AAU)P1	74	0	0.074	0	0
3453	YPR158W-A	1323	0	1.323	0	0
3454	YPR158W-B	1305	0	1.305	0	0
3461	YPR159C-A	102	0	0.102	0	0
3475	tI(AAU)P2	74	0	0.074	0	0
3517	YPR204C-A	483	0	0.483	0	0
3520	YML133W-B	483	0	0.483	0	0
3521	YML133W-A	576	0	0.576	0	0
3595	tR(UCU)M2	72	0	0.072	0	0
3715	snR72	98	0	0.098	0	0
3726	tA(AGC)M1	73	0	0.073	0	0
3749	tF(GAA)M	36	0	0.036	0	0
3756	YMR046W-A	129	0	0.129	0	0
3757	tH(GUG)M	72	0	0.072	0	0
3765	tW(CCA)M	36	0	0.036	0	0
3876	YMR141W-A	225	0	0.225	0	0
3903	tV(AAC)M3	74	0	0.074	0	0
4001	YMR242W-A	90	0	0.09	0	0
4009	tA(AGC)M2	73	0	0.073	0	0
4010	YMR247W-A	144	0	0.144	0	0
4037	YMR272W-B	108	0	0.108	0	0
4098	YMR322C	714	0	0.714	0	0
4100	YMR324C	243	0	0.243	0	0
4101	YMR325W	375	0	0.375	0	0
4102	YMR326C	309	0	0.309	0	0
4108	YBL109W	336	0	0.336	0	0
4110	YBL108W	306	0	0.306	0	0
4156	YBL073W	312	0	0.312	0	0
4230	tI(AAU)B	74	0	0.074	0	0
4231	tG(GCC)B	71	0	0.071	0	0
4247	tS(AGA)B	82	0	0.082	0	0
4268	tT(AGU)B	73	0	0.073	0	0
4315	tL(UAA)B2	84	0	0.084	0	0
4317	tQ(UUG)B	72	0	0.072	0	0
4329	YBR064W	429	0	0.429	0	0
4349	tR(UCU)B	72	0	0.072	0	0
4378	YBR103C-A	144	0	0.144	0	0
4415	YBR131C-A	90	0	0.09	0	0
4429	YBR144C	315	0	0.315	0	0
4495	YBR200W-A	165	0	0.165	0	0
4506	tC(GCA)B	72	0	0.072	0	0
4507	tE(UUC)B	72	0	0.072	0	0
4522	YBR221W-A	105	0	0.105	0	0
4605	YBR296C-A	120	0	0.12	0	0
4608	YBR298C-A	222	0	0.222	0	0
4613	YNL339C	19	0	0.019	0	0
4615	YNL339W-B	483	0	0.483	0	0
4616	YNL339W-A	576	0	0.576	0	0
4618	YNL337W	255	0	0.255	0	0
4679	tN(GUU)N1	74	0	0.074	0	0
4681	tT(AGU)N1	73	0	0.073	0	0
4733	YNL235C	432	0	0.432	0	0
4742	YNL226W	411	0	0.411	0	0
4759	YNL210W	813	0	0.813	0	0
4798	YNL171C	369	0	0.369	0	0
4826	YNL146C-A	195	0	0.195	0	0
4844	tF(GAA)N	37	0	0.037	0	0
4845	tF(GAA)N	36	0	0.036	0	0
4876	YNL105W	429	0	0.429	0	0
4888	tL(CAA)N	38	0	0.038	0	0
4889	tL(CAA)N	44	0	0.044	0	0
4898	YNL089C	477	0	0.477	0	0
4921	YNL067W-A	147	0	0.147	0	0
4965	tP(UGG)N2	36	0	0.036	0	0
4990	tI(AAU)N2	74	0	0.074	0	0
4994	YNL013C	378	0	0.378	0	0
5012	tN(GUU)N2	74	0	0.074	0	0
5017	YNR005C	405	0	0.405	0	0
5094	YNR075C-A	93	0	0.093	0	0
5096	YNR077C	255	0	0.255	0	0
5097	YJL225C	1161	0	1.161	0	0
5099	YJL225W-A	483	0	0.483	0	0
5100	YJL223C	363	0	0.363	0	0
5101	YJL222W-B	138	0	0.138	0	0
5102	YJL222W-A	228	0	0.228	0	0
5104	YJL221C	1770	0	1.77	0	0
5105	YJL220W	453	0	0.453	0	0
5127	tT(AGU)J	73	0	0.073	0	0
5131	YJL197C-A	282	0	0.282	0	0
5148	YJL182C	318	0	0.318	0	0
5199	YJL136W-A	84	0	0.084	0	0
5226	tA(AGC)J	73	0	0.073	0	0
5230	tD(GUC)J1	72	0	0.072	0	0
5269	YJL077C	396	0	0.396	0	0
5296	YJL052C-A	120	0	0.12	0	0
5321	tV(AAC)J	74	0	0.074	0	0
5331	tM(CAU)J1	73	0	0.073	0	0
5353	tW(CCA)J	36	0	0.036	0	0
5357	YJL007C	315	0	0.315	0	0
5408	YJR037W	384	0	0.384	0	0
5415	tM(CAU)J3	72	0	0.072	0	0
5429	tR(CCU)J	72	0	0.072	0	0
5433	tY(GUA)J2	39	0	0.039	0	0
5481	tL(UAG)J	38	0	0.038	0	0
5482	tL(UAG)J	44	0	0.044	0	0
5546	YJR157W	363	0	0.363	0	0
5547	YJR158W	1704	0	1.704	0	0
5551	YJR162C	351	0	0.351	0	0
5552	YKL225W	348	0	0.348	0	0
5553	YKL224C	372	0	0.372	0	0
5554	YKL223W	333	0	0.333	0	0
5570	tT(CGU)K	72	0	0.072	0	0
5581	tN(GUU)K	74	0	0.074	0	0
5590	tL(UAA)K	84	0	0.084	0	0
5605	YKL177W	339	0	0.339	0	0
5619	tE(UUC)K	72	0	0.072	0	0
5732	tV(AAC)K1	74	0	0.074	0	0
5826	tL(CAA)K	38	0	0.038	0	0
5827	tL(CAA)K	44	0	0.044	0	0
5845	tR(ACG)K	73	0	0.073	0	0
5851	YKR032W	315	0	0.315	0	0
5861	tA(AGC)K2	73	0	0.073	0	0
5935	YKR105C	1749	0	1.749	0	0
5994	tS(AGA)E	82	0	0.082	0	0
6021	YEL014C	306	0	0.306	0	0
6023	tQ(UUG)E2	72	0	0.072	0	0
6028	YEL010W	351	0	0.351	0	0
6099	YER044C-A	63	0	0.063	0	0
6106	tQ(UUG)E1	72	0	0.072	0	0
6161	YER084W-A	513	0	0.513	0	0
6172	YER090C-A	90	0	0.09	0	0
6194	YER107W-A	321	0	0.321	0	0
6226	tK(CUU)E2	73	0	0.073	0	0
6235	tI(AAU)E1	74	0	0.074	0	0
6264	tE(UUC)E3	72	0	0.072	0	0
6268	tR(ACG)E	73	0	0.073	0	0
6309	YER190C-A	576	0	0.576	0	0
6310	YER190C-B	483	0	0.483	0	0
6313	YHL050W-A	483	0	0.483	0	0
6315	YHL048C-A	135	0	0.135	0	0
6318	YHL046W-A	327	0	0.327	0	0
6324	YHL041W	450	0	0.45	0	0
6345	tH(GUG)H	72	0	0.072	0	0
6358	YHL012W	1482	0	1.482	0	0
6362	tV(AAC)H	74	0	0.074	0	0
6385	tT(AGU)H	73	0	0.073	0	0
6407	tA(AGC)H	73	0	0.073	0	0
6419	YHR028W-A	321	0	0.321	0	0
6425	YHR032C-A	120	0	0.12	0	0
6478	tF(GAA)H1	37	0	0.037	0	0
6479	tF(GAA)H1	36	0	0.036	0	0
6494	YHR079C-A	113	0	0.113	0	0
6495	YHR079C-A	163	0	0.163	0	0
6510	YHR093W	549	0	0.549	0	0
6512	YHR095W	495	0	0.495	0	0
6545	tF(GAA)H2	37	0	0.037	0	0
6546	tF(GAA)H2	36	0	0.036	0	0
6547	YHR125W	306	0	0.306	0	0
6615	YHR180W-A	183	0	0.183	0	0
6616	YHR180C-B	105	0	0.105	0	0
6617	tT(UGU)H	72	0	0.072	0	0
6655	YHR212C	336	0	0.336	0	0
6656	YHR212W-A	204	0	0.204	0	0
6657	YHR213W	597	0	0.597	0	0
6658	YHR213W-A	234	0	0.234	0	0
6669	YHR217C	462	0	0.462	0	0
6675	YIL177C	1161	0	1.161	0	0
6677	YIL177W-A	483	0	0.483	0	0
6678	YIL176C	363	0	0.363	0	0
6679	YIL175W	318	0	0.318	0	0
6680	YIL174W	228	0	0.228	0	0
6682	YIL172C	1770	0	1.77	0	0
6683	YIL171W-A	453	0	0.453	0	0
6762	YIL105W-A	141	0	0.141	0	0
6766	YIL102C	306	0	0.306	0	0
6775	tI(AAU)I1	74	0	0.074	0	0
6802	YIL073C	55	0	0.055	0	0
6852	YIL032C	357	0	0.357	0	0
6857	tK(CUU)I	73	0	0.073	0	0
6876	tD(GUC)I1	72	0	0.072	0	0
6878	tT(AGU)I2	73	0	0.073	0	0
6904	tE(UUC)I	72	0	0.072	0	0
6916	YIR017W-A	600	0	0.6	0	0
6924	YIR020C-B	735	0	0.735	0	0
6948	YIR040C	333	0	0.333	0	0
6953	YCL076W	744	0	0.744	0	0
6954	YCL075W	441	0	0.441	0	0
6955	YCL074W	927	0	0.927	0	0
6956	YCL073C	1848	0	1.848	0	0
6957	YCL069W	1377	0	1.377	0	0
6959	YCL067C	633	0	0.633	0	0
6960	YCL066W	528	0	0.528	0	0
6961	YCL065W	369	0	0.369	0	0
6981	YCL046W	324	0	0.324	0	0
7005	YCL022C	516	0	0.516	0	0
7006	tE(UUC)C	72	0	0.072	0	0
7011	tL(CAA)C	38	0	0.038	0	0
7012	tL(CAA)C	44	0	0.044	0	0
7013	YCL018W	1095	0	1.095	0	0
7035	YCR001W	315	0	0.315	0	0
7043	tN(GUU)C	74	0	0.074	0	0
7053	tG(GCC)C	71	0	0.071	0	0
7057	tM(CAU)C	72	0	0.072	0	0
7058	tK(CUU)C	73	0	0.073	0	0
7078	snR65	100	0	0.1	0	0
7089	YCR038W-A	126	0	0.126	0	0
7090	YCR039C	633	0	0.633	0	0
7091	YCR040W	528	0	0.528	0	0
7092	YCR041W	333	0	0.333	0	0
7149	YCR097W	105	0	0.105	0	0
7150	YCR097W	246	0	0.246	0	0
7151	YCR097W	30	0	0.03	0	0
7153	tT(AGU)C	73	0	0.073	0	0
7164	YCR108C	192	0	0.192	0	0
7165	YFL068W	483	0	0.483	0	0
7166	YFL067W	528	0	0.528	0	0
7170	YFL063W	456	0	0.456	0	0
7229	YFL015W-A	318	0	0.318	0	0
7246	tN(GUU)F	74	0	0.074	0	0
7258	tF(GAA)F	37	0	0.037	0	0
7259	tF(GAA)F	36	0	0.036	0	0
7262	tG(GCC)F1	71	0	0.071	0	0
7285	RUF22	515	0	0.515	0	0
7290	tA(AGC)F	73	0	0.073	0	0
7294	tY(GUA)F2	39	0	0.039	0	0
7295	tY(GUA)F2	36	0	0.036	0	0
7332	YFR056C	369	0	0.369	0	0
7334	YFR057W	456	0	0.456	0	0
7335	YAL069W	315	0	0.315	0	0
7336	YAL068W-A	255	0	0.255	0	0
7337	YAL068C	363	0	0.363	0	0
7338	YAL067W-A	228	0	0.228	0	0
7340	YAL066W	309	0	0.309	0	0
7341	YAL065C	387	0	0.387	0	0
7343	YAL064C-A	381	0	0.381	0	0
7345	YAL063C-A	291	0	0.291	0	0
7375	YAL037C-A	93	0	0.093	0	0
7379	YAL034C-B	354	0	0.354	0	0
7402	YAL018C	978	0	0.978	0	0
7404	YAL016C-B	186	0	0.186	0	0
7416	tP(UGG)A	36	0	0.036	0	0
7417	tP(UGG)A	36	0	0.036	0	0
7451	YAR035C-A	81	0	0.081	0	0
7455	YAR053W	297	0	0.297	0	0
7456	YAR060C	336	0	0.336	0	0
7457	YAR061W	204	0	0.204	0	0
7458	YAR062W	597	0	0.597	0	0
7459	YAR064W	300	0	0.3	0	0
7462	YAR069C	294	0	0.294	0	0
7463	YAR070C	300	0	0.3	0	0
7467	tP(UGG)Q	72	0	0.072	0	0
7468	Q0010	387	0	0.387	0	0
7469	Q0017	162	0	0.162	0	0
7470	15S_rRNA	1649	0	1.649	0	0
7471	tW(UCA)Q	74	0	0.074	0	0
7472	Q0032	291	0	0.291	0	0
7473	Q0055	169	0	0.169	0	0
7474	Q0055	2396	0	2.396	0	0
7475	Q0065	169	0	0.169	0	0
7476	Q0065	36	0	0.036	0	0
7477	Q0065	38	0	0.038	0	0
7478	Q0065	1428	0	1.428	0	0
7479	Q0045	169	0	0.169	0	0
7480	Q0045	36	0	0.036	0	0
7481	Q0045	38	0	0.038	0	0
7482	Q0045	477	0	0.477	0	0
7483	Q0045	252	0	0.252	0	0
7484	Q0045	135	0	0.135	0	0
7485	Q0045	25	0	0.025	0	0
7486	Q0045	473	0	0.473	0	0
7487	Q0070	169	0	0.169	0	0
7488	Q0070	36	0	0.036	0	0
7489	Q0070	38	0	0.038	0	0
7490	Q0070	477	0	0.477	0	0
7491	Q0070	1173	0	1.173	0	0
7492	Q0050	2505	0	2.505	0	0
7493	Q0060	169	0	0.169	0	0
7494	Q0060	36	0	0.036	0	0
7495	Q0060	1043	0	1.043	0	0
7496	Q0075	715	0	0.715	0	0
7497	Q0075	350	0	0.35	0	0
7498	Q0080	147	0	0.147	0	0
7499	Q0085	780	0	0.78	0	0
7500	Q0092	141	0	0.141	0	0
7501	tE(UUC)Q	72	0	0.072	0	0
7502	Q0110	415	0	0.415	0	0
7503	Q0110	857	0	0.857	0	0
7504	Q0105	415	0	0.415	0	0
7505	Q0105	14	0	0.014	0	0
7506	Q0105	77	0	0.077	0	0
7507	Q0105	250	0	0.25	0	0
7508	Q0105	51	0	0.051	0	0
7509	Q0105	351	0	0.351	0	0
7510	Q0120	415	0	0.415	0	0
7511	Q0120	14	0	0.014	0	0
7512	Q0120	77	0	0.077	0	0
7513	Q0120	1411	0	1.411	0	0
7514	Q0115	415	0	0.415	0	0
7515	Q0115	14	0	0.014	0	0
7516	Q0115	1125	0	1.125	0	0
7517	Q0130	231	0	0.231	0	0
7518	tS(UGA)Q2	90	0	0.09	0	0
7519	Q0140	1197	0	1.197	0	0
7520	Q0142	177	0	0.177	0	0
7521	Q0143	153	0	0.153	0	0
7522	Q0144	330	0	0.33	0	0
7523	21S_rRNA	2716	0	2.716	0	0
7524	21S_rRNA	580	0	0.58	0	0
7525	Q0160	708	0	0.708	0	0
7526	tT(UGU)Q1	76	0	0.076	0	0
7527	tC(GCA)Q	76	0	0.076	0	0
7528	tH(GUG)Q	75	0	0.075	0	0
7529	Q0182	405	0	0.405	0	0
7530	tL(UAA)Q	85	0	0.085	0	0
7531	tQ(UUG)Q	76	0	0.076	0	0
7532	tK(UUU)Q	74	0	0.074	0	0
7533	tR(UCU)Q1	73	0	0.073	0	0
7534	tG(UCC)Q	75	0	0.075	0	0
7535	tD(GUC)Q	75	0	0.075	0	0
7536	tS(GCU)Q1	86	0	0.086	0	0
7537	tR(ACG)Q2	74	0	0.074	0	0
7538	tA(UGC)Q	76	0	0.076	0	0
7539	tI(GAU)Q	76	0	0.076	0	0
7540	tY(GUA)Q	84	0	0.084	0	0
7541	tN(GUU)Q	71	0	0.071	0	0
7542	tM(CAU)Q1	76	0	0.076	0	0
7543	Q0250	756	0	0.756	0	0
7544	Q0255	1128	0	1.128	0	0
7545	Q0255	210	0	0.21	0	0
7546	Q0255	81	0	0.081	0	0
7547	tF(GAA)Q	75	0	0.075	0	0
7548	tT(XXX)Q2	74	0	0.074	0	0
7549	tV(UAC)Q	76	0	0.076	0	0
7550	Q0275	810	0	0.81	0	0
7551	tM(CAU)Q2	78	0	0.078	0	0
7552	RPM1	483	0	0.483	0	0
7553	Q0297	156	0	0.156	0	0
4394	YBR115C	4179	1	4.179	0.0349585566311138	0.00836529232618182
2105	YGR161W-B	4020	1	4.02	0.0349585566311138	0.00869615836594871
7248	YFL002W-A	4020	1	4.02	0.0349585566311138	0.00869615836594871
4988	YNL018C	1839	1	1.839	0.0349585566311138	0.0190095468358422
903	YDR522C	1509	1	1.509	0.0349585566311138	0.0231667041955691
2108	YGR161C-C	1323	1	1.323	0.0349585566311138	0.0264237011573045
3639	YML040W	1323	1	1.323	0.0349585566311138	0.0264237011573045
6271	YER159C-A	1323	1	1.323	0.0349585566311138	0.0264237011573045
2106	YGR161C-D	1305	1	1.305	0.0349585566311138	0.0267881660008535
3640	YML039W	1305	1	1.305	0.0349585566311138	0.0267881660008535
6269	YER160C	1302	1	1.302	0.0349585566311138	0.0268498898856481
4	YDL246C	1074	1	1.074	0.0349585566311138	0.032549866509417
1738	YGL138C	1038	1	1.038	0.0349585566311138	0.0336787636137898
734	YDR374C	921	1	0.921	0.0349585566311138	0.0379571733236849
1678	YGL192W	1803	2	1.803	0.0699171132622276	0.0387782103506532
2340	YLL005C	2607	3	2.607	0.104875669893341	0.0402284886433991
4987	YNL019C	855	1	0.855	0.0349585566311138	0.0408872007381448
5	YDL245C	1704	2	1.704	0.0699171132622276	0.0410311697548284
3234	YPL027W	738	1	0.738	0.0349585566311138	0.0473693179283385
6951	YIR043C	693	1	0.693	0.0349585566311138	0.0504452476639449
7432	YAR010C	1323	2	1.323	0.0699171132622276	0.0528474023146089
7171	YFL062W	1140	2	1.14	0.0699171132622276	0.0613308011072172
4637	YNL318C	1623	3	1.623	0.104875669893341	0.0646184041240551
1597	YGL262W	528	1	0.528	0.0349585566311138	0.0662093875589277
3422	YPR136C	513	1	0.513	0.0349585566311138	0.0681453345635747
2942	YPL282C	495	1	0.495	0.0349585566311138	0.0706233467295229
3183	YPL073C	486	1	0.486	0.0349585566311138	0.0719311864837733
2940	YPL283W-B	483	1	0.483	0.0349585566311138	0.0723779640395731
4104	YBL113W-A	483	1	0.483	0.0349585566311138	0.0723779640395731
6820	YIL060W	435	1	0.435	0.0349585566311138	0.0803644980025605
931	YDR544C	429	1	0.429	0.0349585566311138	0.0814884769956033
5272	YJL075C	417	1	0.417	0.0349585566311138	0.0838334691393617
816	YDR445C	408	1	0.408	0.0349585566311138	0.0856827368409652
1439	YOR263C	408	1	0.408	0.0349585566311138	0.0856827368409652
6314	YHL049C	816	2	0.816	0.0699171132622276	0.0856827368409652
1038	YOL079W	399	1	0.399	0.0349585566311138	0.0876154301531675
6270	YER160C	3966	10	3.966	0.349585566311138	0.0881456294279219
813	YDR442W	393	1	0.393	0.0349585566311138	0.0889530703081776
6958	YCL068C	783	2	0.783	0.0699171132622276	0.0892938866695117
3572	YML090W	387	1	0.387	0.0349585566311138	0.0903321876772967
2924	YLR458W	381	1	0.381	0.0349585566311138	0.091754741813947
3533	YML122C	381	1	0.381	0.0349585566311138	0.091754741813947
6285	YER172C-A	381	1	0.381	0.0349585566311138	0.091754741813947
1896	YGL007W	378	1	0.378	0.0349585566311138	0.0924829540505657
2765	YLR331C	378	1	0.378	0.0349585566311138	0.0924829540505657
4464	YBR178W	375	1	0.375	0.0349585566311138	0.0932228176829702
6676	YIL177C	4116	11	4.116	0.384544122942252	0.0934266576633265
609	YDR271C	372	1	0.372	0.0349585566311138	0.0939746145997683
3487	YPR177C	372	1	0.372	0.0349585566311138	0.0939746145997683
6748	YIL115W-A	372	1	0.372	0.0349585566311138	0.0939746145997683
3601	YML066C	1110	3	1.11	0.104875669893341	0.0944825854894968
5162	YJL169W	369	1	0.369	0.0349585566311138	0.094738635856677
3627	YML047W-A	366	1	0.366	0.0349585566311138	0.0955151820522235
4537	YBR232C	360	1	0.36	0.0349585566311138	0.0971071017530939
6623	YHR185C	714	2	0.714	0.0699171132622276	0.097923127818246
1385	YOR214C	711	2	0.711	0.0699171132622276	0.0983363055727534
7198	RUF21	707	2	0.707	0.0699171132622276	0.0988926637372385
2685	YLR269C	351	1	0.351	0.0349585566311138	0.0995970274390707
5133	YJL195C	702	2	0.702	0.0699171132622276	0.0995970274390707
7353	YAL056C-A	351	1	0.351	0.0349585566311138	0.0995970274390707
7003	YCL023C	348	1	0.348	0.0349585566311138	0.100455622503201
942	YOL160W	342	1	0.342	0.0349585566311138	0.102218001845362
1648	YGL217C	342	1	0.342	0.0349585566311138	0.102218001845362
2700	YLR282C	342	1	0.342	0.0349585566311138	0.102218001845362
4989	YNL017C	339	1	0.339	0.0349585566311138	0.103122585932489
5332	YJL028W	336	1	0.336	0.0349585566311138	0.104043323306886
1706	YGL168W	333	1	0.333	0.0349585566311138	0.104980650543885
2810	YLR365W	333	1	0.333	0.0349585566311138	0.104980650543885
3198	YPL060C-A	3315	10	3.315	0.349585566311138	0.105455676111957
598	YDR261C-C	1323	4	1.323	0.139834226524455	0.105694804629218
629	YDR290W	330	1	0.33	0.0349585566311138	0.105935020094284
6684	YIL171W	330	1	0.33	0.0349585566311138	0.105935020094284
7249	YFL002W-B	1317	4	1.317	0.139834226524455	0.106176329935046
3174	YPL080C	327	1	0.327	0.0349585566311138	0.10690690101258
3735	YMR031W-A	327	1	0.327	0.0349585566311138	0.10690690101258
596	YDR261C-D	1305	4	1.305	0.139834226524455	0.107152664003414
2619	YLR217W	324	1	0.324	0.0349585566311138	0.10789677972566
7247	YFL002W-A	1293	4	1.293	0.139834226524455	0.108147120281868
4602	YBR294W	2580	8	2.58	0.279668453048911	0.108398625212756
1071	YOL050C	321	1	0.321	0.0349585566311138	0.108905160844591
4975	YNL028W	318	1	0.318	0.0349585566311138	0.10993256802237
344	YDR048C	315	1	0.315	0.0349585566311138	0.110979544860679
2753	YLR322W	315	1	0.315	0.0349585566311138	0.110979544860679
4662	YNL296W	315	1	0.315	0.0349585566311138	0.110979544860679
5998	YEL030C-A	315	1	0.315	0.0349585566311138	0.110979544860679
244	YDL032W	312	1	0.312	0.0349585566311138	0.112046655868955
802	YDR431W	312	1	0.312	0.0349585566311138	0.112046655868955
5673	YKL118W	312	1	0.312	0.0349585566311138	0.112046655868955
420	YDR112W	309	1	0.309	0.0349585566311138	0.113134487479333
5341	YJL022W	309	1	0.309	0.0349585566311138	0.113134487479333
3367	YPR092W	306	1	0.306	0.0349585566311138	0.114243649121287
5942	YEL075W-A	612	2	0.612	0.0699171132622276	0.114243649121287
4287	YBR032W	303	1	0.303	0.0349585566311138	0.115374774360112
6670	YHR218W	602	2	0.602	0.0699171132622276	0.116141384156524
6659	YHR213W-B	300	1	0.3	0.0349585566311138	0.116528522103713
